country_fr,iso3c,pop2018,date,test_unit,tests,cases,deaths,tests_7dravg,cases_7dravg,deaths_7dravg,ctratio_7dravg
Belgique,BEL,11422068,2020-04-26,units unclear,11867,1032,238,11858,677,146,0.06
Belgique,BEL,11422068,2020-04-27,units unclear,14551,809,177,12698,599,121,0.05
Belgique,BEL,11422068,2020-04-28,units unclear,16589,553,113,14056,539,107,0.04
Belgique,BEL,11422068,2020-04-29,units unclear,19553,647,124,15092,511,102,0.03
Belgique,BEL,11422068,2020-04-30,units unclear,21385,525,170,16218,454,98,0.03
Belgique,BEL,11422068,2020-05-01,units unclear,21367,660,93,17082,417,120,0.02
Belgique,BEL,11422068,2020-05-02,units unclear,14768,513,109,17154,414,117,0.02
Belgique,BEL,11422068,2020-05-03,units unclear,12019,485,62,17176,426,117,0.02
Belgique,BEL,11422068,2020-05-04,units unclear,20621,389,79,18043,440,117,0.02
Belgique,BEL,11422068,2020-05-05,units unclear,17580,361,80,18185,454,116,0.02
Belgique,BEL,11422068,2020-05-06,units unclear,17287,242,92,17861,455,112,0.03
Belgique,BEL,11422068,2020-05-07,units unclear,18227,272,323,17410,467,106,0.03
Belgique,BEL,11422068,2020-05-08,units unclear,22192,639,76,17528,457,72,0.03
Belgique,BEL,11422068,2020-05-09,units unclear,17930,591,106,17979,410,70,0.02
Belgique,BEL,11422068,2020-05-10,units unclear,10420,585,60,17751,376,63,0.02
Belgique,BEL,11422068,2020-05-11,units unclear,8043,485,75,15954,342,61,0.02
Belgique,BEL,11422068,2020-05-12,units unclear,16279,368,51,15768,314,57,0.02
Belgique,BEL,11422068,2020-05-13,units unclear,19309,330,54,16057,301,53,0.02
Belgique,BEL,11422068,2020-05-14,units unclear,16337,202,82,15787,287,50,0.02
Belgique,BEL,11422068,2020-05-15,units unclear,16785,307,60,15015,286,44,0.02
Belgique,BEL,11422068,2020-05-16,units unclear,11598,356,56,14110,278,40,0.02
Belgique,BEL,11422068,2020-05-17,units unclear,8316,345,46,13810,267,36,0.02
Belgique,BEL,11422068,2020-05-18,units unclear,7060,291,47,13669,260,33,0.02
Belgique,BEL,11422068,2020-05-19,units unclear,12867,279,28,13182,259,33,0.02
Belgique,BEL,11422068,2020-05-20,units unclear,14167,232,28,12447,255,33,0.02
Belgique,BEL,11422068,2020-05-21,units unclear,7471,192,42,11181,238,32,0.02
Belgique,BEL,11422068,2020-05-22,units unclear,9241,252,36,10103,NA,NA,NA
Belgique,BEL,11422068,2020-05-23,units unclear,5916,276,26,9291,NA,NA,NA
Belgique,BEL,11422068,2020-05-24,NA,NA,299,25,NA,NA,NA,NA
Belgique,BEL,11422068,2020-05-25,NA,NA,282,43,NA,NA,NA,NA
Belgique,BEL,11422068,2020-05-26,NA,NA,250,32,NA,NA,NA,NA
Belgique,BEL,11422068,2020-05-27,NA,NA,113,22,NA,NA,NA,NA
Bulgarie,BGR,7024216,2020-03-08,NA,NA,2,0,NA,7,0,NA
Bulgarie,BGR,7024216,2020-03-09,NA,NA,2,0,NA,9,0,NA
Bulgarie,BGR,7024216,2020-03-12,NA,NA,3,1,NA,11,0,NA
Bulgarie,BGR,7024216,2020-03-13,NA,NA,16,0,NA,12,0,NA
Bulgarie,BGR,7024216,2020-03-14,NA,NA,8,0,NA,12,0,NA
Bulgarie,BGR,7024216,2020-03-15,NA,NA,10,1,NA,14,0,NA
Bulgarie,BGR,7024216,2020-03-16,NA,NA,10,0,NA,17,0,NA
Bulgarie,BGR,7024216,2020-03-17,NA,NA,11,0,NA,19,0,NA
Bulgarie,BGR,7024216,2020-03-18,NA,NA,19,0,NA,20,0,NA
Bulgarie,BGR,7024216,2020-03-19,NA,NA,11,0,NA,20,0,NA
Bulgarie,BGR,7024216,2020-03-20,NA,NA,13,1,NA,21,0,NA
Bulgarie,BGR,7024216,2020-03-21,NA,NA,22,0,NA,23,0,NA
Bulgarie,BGR,7024216,2020-03-22,NA,NA,36,0,NA,24,0,NA
Bulgarie,BGR,7024216,2020-03-23,NA,NA,22,0,NA,24,1,NA
Bulgarie,BGR,7024216,2020-03-24,NA,NA,16,0,NA,23,1,NA
Bulgarie,BGR,7024216,2020-03-25,NA,NA,19,0,NA,23,1,NA
Bulgarie,BGR,7024216,2020-03-26,NA,NA,22,0,NA,26,1,NA
Bulgarie,BGR,7024216,2020-03-27,NA,NA,22,0,NA,26,1,NA
Bulgarie,BGR,7024216,2020-03-28,NA,NA,29,0,NA,28,1,NA
Bulgarie,BGR,7024216,2020-03-29,NA,NA,38,4,NA,27,2,NA
Bulgarie,BGR,7024216,2020-03-30,NA,NA,15,1,NA,25,1,NA
Bulgarie,BGR,7024216,2020-03-31,NA,NA,13,0,NA,26,2,NA
Bulgarie,BGR,7024216,2020-04-01,NA,NA,40,0,NA,27,2,NA
Bulgarie,BGR,7024216,2020-04-02,NA,NA,23,2,NA,25,2,NA
